cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
13,Hidalgo,13069,Tizayuca,1.3069E+12,0868,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0872,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0887,"(18, 34)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001003A,003A,"(0, 18)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001010A,010A,"(0, 18)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001028A,028A,"(0, 18)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001035A,035A,"(34, 50)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001067A,067A,"(0, 18)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001074A,074A,"(0, 18)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001081A,081A,"(0, 18)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001099A,099A,"(0, 18)","(0, 20)"
9,Ciudad de México,9002,Azcapotzalco,090020001117A,117A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001008A,008A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001015A,015A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001022A,022A,"(18, 34)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001054A,054A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001061A,061A,"(18, 34)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001079A,079A,"(34, 50)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001086A,086A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001093A,093A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001129A,129A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001136A,136A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001143A,143A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001150A,150A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001168A,168A,"(0, 18)","(0, 20)"
9,Ciudad de México,9003,Coyoacán,090030001175A,175A,"(0, 18)","(0, 20)"
9,Ciudad de México,9004,Cuajimalpa de Morelos,090040001002A,002A,"(34, 50)","(0, 20)"
9,Ciudad de México,9004,Cuajimalpa de Morelos,090040001027A,027A,"(18, 34)","(0, 20)"
9,Ciudad de México,9004,Cuajimalpa de Morelos,090040001034A,034A,"(18, 34)","(0, 20)"
9,Ciudad de México,9004,Cuajimalpa de Morelos,090040001041A,041A,"(34, 50)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001014A,014A,"(34, 50)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001039A,039A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001060A,060A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001078A,078A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001085A,085A,"(34, 50)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001092A,092A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001103A,103A,"(34, 50)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001110A,110A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001128A,128A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001135A,135A,"(34, 50)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001142A,142A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001167A,167A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001174A,174A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001181A,181A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001199A,199A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001217A,217A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001224A,224A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001231A,231A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001263A,263A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001270A,270A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001288A,288A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001295A,295A,"(34, 50)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001306A,306A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001313A,313A,"(0, 18)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001320A,320A,"(18, 34)","(0, 20)"
9,Ciudad de México,9005,Gustavo A. Madero,090050001338A,338A,"(0, 18)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001001A,001A,"(0, 18)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001019A,019A,"(18, 34)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001026A,026A,"(0, 18)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001033A,033A,"(0, 18)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001058A,058A,"(18, 34)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001065A,065A,"(18, 34)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001072A,072A,"(18, 34)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001097A,097A,"(0, 18)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001108A,108A,"(18, 34)","(0, 20)"
9,Ciudad de México,9006,Iztacalco,090060001115A,115A,"(18, 34)","(0, 20)"
9,Ciudad de México,9007,Iztapalapa,090070001006A,006A,"(18, 34)","(0, 20)"
9,Ciudad de México,9007,Iztapalapa,090070001013A,013A,"(18, 34)","(0, 20)"
